treat_adult Average tube block
N 0.08616 N8 4
N 0.089906667 N8 4
N 0.090163333 N8 4
N 0.090453333 N8 4
N 0.08883 N8 4
N 0.08905 N8 4
N 0.088783333 N8 4
N 0.090443333 N8 4
N 0.089273333 N8 4
N 0.089716667 N8 4
N 0.09083 N8 4
N 0.087916667 N8 4
N 0.089723333 N8 4
N 0.088263333 N8 4
N 0.087686667 N8 4
N 0.090913333 N8 4
N 0.088036667 N8 4
N 0.091293333 N8 4
N 0.085436667 N8 4
N 0.089536667 N8 4
N 0.091353333 N8 4
N 0.087393333 N8 4
N 0.09207 N8 4
N 0.08909 N8 4
N 0.08677 N8 4
N 0.086033333 N8 4
N 0.09006 N8 4
N 0.092533333 N8 4
N 0.08424 N9 5
N 0.084936667 N9 5
N 0.085683333 N9 5
N 0.088 N9 5
N 0.08395 N9 5
N 0.085303333 N9 5
N 0.084426667 N9 5
N 0.08321 N9 5
N 0.086166667 N9 5
N 0.087716667 N9 5
N 0.085106667 N9 5
N 0.087083333 N9 5
N 0.08487 N9 5
N 0.08641 N9 5
N 0.081936667 N9 5
N 0.084653333 N9 5
N 0.083736667 N9 5
N 0.08135 N9 5
N 0.085343333 N9 5
N 0.082323333 N9 5
N 0.08463 N9 5
N 0.083563333 N9 5
N 0.083716667 N9 5
N 0.088816667 N9 5
N 0.0842 N9 5
N 0.089483333 N9 5
N 0.086613333 N9 5
N 0.079633333 N9 5
N 0.08847 N9 5
N 0.082683333 N9 5
N 0.08688 N9 5
N 0.08667 N9 5
N 0.08716 N10 5
N 0.091506667 N10 5
N 0.091253333 N10 5
N 0.08806 N10 5
N 0.09021 N10 5
N 0.08639 N10 5
N 0.089546667 N10 5
N 0.086843333 N10 5
N 0.088993333 N10 5
N 0.089043333 N10 5
N 0.08114 N10 5
N 0.08835 N10 5
N 0.088153333 N10 5
N 0.090426667 N10 5
N 0.08026 N10 5
N 0.088496667 N10 5
N 0.087973333 N10 5
N 0.08015 N10 5
N 0.08035 N10 5
N 0.089226667 N10 5
N 0.084326667 N10 5
N 0.083163333 N10 5
N 0.079343333 N10 5
N 0.088083333 N10 5
N 0.07827 N10 5
N 0.088143333 N10 5
N 0.080593333 N10 5
N 0.08677 N10 5
N 0.090083333 N10 5
N 0.089553333 N10 5
